date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:23:52	196/196	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Feb%202026%2008:23:51%20GMT	https://comissarvanishes.ru/robots.txt		(from )
11:23:53	8299/8299	---MCZ	200	added ('OK')	text/html	etag:W/%22206b-55d109f0abfad%22	https://comissarvanishes.ru/	./comissarvanishes.ru/index-2.html	(from )
11:23:53	6772/6772	---M--	200	added ('OK')	text/html	etag:%221a74-55d109f730ecd%22	https://comissarvanishes.ru/ru.feed@type=rss	./comissarvanishes.ru/ru.html	(from https://comissarvanishes.ru/)
11:23:54	8137/8137	---M--	200	added ('OK')	text/html	etag:%221fc9-55d109f730ecd%22	https://comissarvanishes.ru/ru.feed@type=atom	./comissarvanishes.ru/ru-2.html	(from https://comissarvanishes.ru/)
11:23:56	13381/13381	---MCZ	200	added ('OK')	text/css	etag:W/%2259fc34f4-3445%22	https://comissarvanishes.ru/components/com_jcomments/tpl/default/style.css	./comissarvanishes.ru/images/style.css	(from https://comissarvanishes.ru/)
11:23:57	4873/4873	---MCZ	200	added ('OK')	text/css	etag:W/%2259fc34fa-1309%22	https://comissarvanishes.ru/plugins/content/attachments.css	./comissarvanishes.ru/images/attachments.css	(from https://comissarvanishes.ru/)
11:23:58	3358/3358	---MCZ	200	added ('OK')	text/css	etag:W/%2259fc34fa-d1e%22	https://comissarvanishes.ru/modules/mod_jflanguageselection/tmpl/mod_jflanguageselection.css	./comissarvanishes.ru/images/mod_jflanguageselection.css	(from https://comissarvanishes.ru/)
11:23:59	4212/4212	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2259fc34f4-1074%22	https://comissarvanishes.ru/components/com_proofreader/js/proofreader.js	./comissarvanishes.ru/images/proofreader.js	(from https://comissarvanishes.ru/)
11:24:00	16886/16886	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2259fc34f4-41f6%22	https://comissarvanishes.ru/components/com_proofreader/js/xajax.js	./comissarvanishes.ru/images/xajax.js	(from https://comissarvanishes.ru/)
11:24:01	74408/74408	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2259fc34fa-122a8%22	https://comissarvanishes.ru/media/system/js/mootools.js	./comissarvanishes.ru/images/mootools.js	(from https://comissarvanishes.ru/)
11:24:02	1721/1721	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2259fc34fa-6b9%22	https://comissarvanishes.ru/media/system/js/caption.js	./comissarvanishes.ru/images/caption.js	(from https://comissarvanishes.ru/)
11:24:03	26433/26433	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2259fc34f4-6741%22	https://comissarvanishes.ru/components/com_jcomments/js/jcomments-v2.0.js	./comissarvanishes.ru/images/jcomments-v2.0.js	(from https://comissarvanishes.ru/)
11:24:04	4122/4122	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2259fc34f4-101a%22	https://comissarvanishes.ru/components/com_jcomments/libraries/joomlatune/ajax.js	./comissarvanishes.ru/images/ajax.js	(from https://comissarvanishes.ru/)
11:24:05	1428/1428	---MCZ	200	added ('OK')	text/css	etag:W/%2259fc34fd-594%22	https://comissarvanishes.ru/templates/system/css/system.css	./comissarvanishes.ru/images/system.css	(from https://comissarvanishes.ru/)
11:24:06	2488/2488	---MCZ	200	added ('OK')	text/css	etag:W/%2259fc34fd-9b8%22	https://comissarvanishes.ru/templates/system/css/general.css	./comissarvanishes.ru/images/general.css	(from https://comissarvanishes.ru/)
11:24:07	29099/29099	---MCZ	200	added ('OK')	text/css	etag:W/%2259fc34fc-71ab%22	https://comissarvanishes.ru/templates/comissar3_4/css/template.css	./comissarvanishes.ru/images/template.css	(from https://comissarvanishes.ru/)
11:24:08	72326/72326	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2259fc34fd-11a86%22	https://comissarvanishes.ru/templates/comissar3_4/jquery.js	./comissarvanishes.ru/images/jquery.js	(from https://comissarvanishes.ru/)
11:24:09	5888/5888	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2259fc34fd-1700%22	https://comissarvanishes.ru/templates/comissar3_4/script.js	./comissarvanishes.ru/images/script.js	(from https://comissarvanishes.ru/)
11:24:09	196/196	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Feb%202026%2008:24:09%20GMT	https://comissarvanishes.ru/default.htm	./comissarvanishes.ru/default.htm	(from https://comissarvanishes.ru/)
11:24:11	14280/14280	---MCZ	200	added ('OK')	text/html	etag:W/%2237c8-55d109f6c38cd%22	https://comissarvanishes.ru/ru/o-proekte.html	./comissarvanishes.ru/o-proekte.html	(from https://comissarvanishes.ru/)
11:24:12	12741/12741	---MCZ	200	added ('OK')	text/html	etag:W/%2231c5-55d109f6c486d%22	https://comissarvanishes.ru/ru/o-vystavke.html	./comissarvanishes.ru/o-vystavke.html	(from https://comissarvanishes.ru/)
11:24:13	31651/31651	---MCZ	200	added ('OK')	text/html	etag:W/%227ba3-55d109f72ff2d%22	https://comissarvanishes.ru/ru/personalii.html	./comissarvanishes.ru/personalii.html	(from https://comissarvanishes.ru/)
11:24:14	12847/12847	---MCZ	200	added ('OK')	text/html	etag:W/%22322f-55d109f6c38cd%22	https://comissarvanishes.ru/ru/kontakty.html	./comissarvanishes.ru/kontakty.html	(from https://comissarvanishes.ru/)
11:24:15	8217/8217	---MCZ	200	added ('OK')	text/html	etag:W/%222019-55d109f31a0cd%22	https://comissarvanishes.ru/en.html	./comissarvanishes.ru/en.html	(from https://comissarvanishes.ru/)
11:24:15	641/641	---M--	200	added ('OK')	image/gif	etag:%2259fc34f4-281%22	https://comissarvanishes.ru/components/com_joomfish/images/flags/en.gif	./comissarvanishes.ru/images/en.gif	(from https://comissarvanishes.ru/)
11:24:17	8301/8301	---MCZ	200	added ('OK')	text/html	etag:W/%22206d-55d109f730ecd%22	https://comissarvanishes.ru/ru.html	./comissarvanishes.ru/ru-3.html	(from https://comissarvanishes.ru/)
11:24:17	359/359	---M--	200	added ('OK')	image/gif	etag:%2259fc34f4-167%22	https://comissarvanishes.ru/components/com_joomfish/images/flags/ru.gif	./comissarvanishes.ru/images/ru.gif	(from https://comissarvanishes.ru/)
11:24:18	263/263	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20Feb%202026%2008:24:18%20GMT	https://comissarvanishes.ru/mc.yandex.ru/watch/13615706	./comissarvanishes.ru/images/13615706	(from https://comissarvanishes.ru/)
